numero de instancias: 500 
iteración: 57, distancia: 0.03395198543262283, clusters fusionados: 556:[230, 411], Silhouette Score: 0.141665198224244
iteración: 58, distancia: 0.03400947321131955, clusters fusionados: 557:[75, 335], Silhouette Score: 0.1447859212599096
iteración: 59, distancia: 0.034308196083052724, clusters fusionados: 558:[231, 421], Silhouette Score: 0.1465046453016644
iteración: 60, distancia: 0.03483428671641141, clusters fusionados: 559:[43, 79], Silhouette Score: 0.14828768400530096
iteración: 61, distancia: 0.03518139359229881, clusters fusionados: 560:[249, 448], Silhouette Score: 0.1504455121903453
iteración: 62, distancia: 0.035327181619049255, clusters fusionados: 561:[287, 391], Silhouette Score: 0.15174502313985155
iteración: 63, distancia: 0.03565219468610182, clusters fusionados: 562:[211, 437], Silhouette Score: 0.15448043573130985
iteración: 64, distancia: 0.037455633763731365, clusters fusionados: 563:[182, 510], Silhouette Score: 0.15363256802736028
iteración: 65, distancia: 0.03758116478075147, clusters fusionados: 564:[10, 392], Silhouette Score: 0.15446499464866092
iteración: 66, distancia: 0.0377204282219124, clusters fusionados: 565:[506, 183], Silhouette Score: 0.15621198948478746
iteración: 67, distancia: 0.037770367709125306, clusters fusionados: 566:[529, 503], Silhouette Score: 0.15619188383688604
iteración: 68, distancia: 0.037970390577606976, clusters fusionados: 567:[17, 479], Silhouette Score: 0.15820036260421058
iteración: 69, distancia: 0.03856002948160861, clusters fusionados: 568:[28, 267], Silhouette Score: 0.15884927249436867
iteración: 70, distancia: 0.038563548756085024, clusters fusionados: 569:[354, 420], Silhouette Score: 0.16172241686195182
iteración: 71, distancia: 0.03860509415862927, clusters fusionados: 570:[82, 528], Silhouette Score: 0.16300910833181023
iteración: 72, distancia: 0.03898822966034287, clusters fusionados: 571:[209, 455], Silhouette Score: 0.1643266142698444
iteración: 73, distancia: 0.039062864208565674, clusters fusionados: 572:[112, 364], Silhouette Score: 0.16644988445982836
iteración: 74, distancia: 0.03924691091316308, clusters fusionados: 573:[5, 416], Silhouette Score: 0.16901935726252482
iteración: 75, distancia: 0.03950333216630832, clusters fusionados: 574:[512, 341], Silhouette Score: 0.16929367355895938
iteración: 76, distancia: 0.04000213690314877, clusters fusionados: 575:[297, 395], Silhouette Score: 0.17078724336607562
iteración: 77, distancia: 0.040218627977044716, clusters fusionados: 576:[128, 142], Silhouette Score: 0.1729652951867502
iteración: 78, distancia: 0.040674903140739675, clusters fusionados: 577:[148, 238], Silhouette Score: 0.17585855856651966
iteración: 79, distancia: 0.04132343441621848, clusters fusionados: 578:[59, 309], Silhouette Score: 0.17881880636109707
iteración: 80, distancia: 0.04162846934962502, clusters fusionados: 579:[126, 563], Silhouette Score: 0.18267264879336395
iteración: 81, distancia: 0.04174934737086913, clusters fusionados: 580:[73, 120], Silhouette Score: 0.1843488621401938
iteración: 82, distancia: 0.04201927715487411, clusters fusionados: 581:[423, 460], Silhouette Score: 0.18680263659378513
iteración: 83, distancia: 0.04230648973714309, clusters fusionados: 582:[24, 430], Silhouette Score: 0.1881380771373148
iteración: 84, distancia: 0.04242408119631514, clusters fusionados: 583:[534, 277], Silhouette Score: 0.18944642838238918
iteración: 85, distancia: 0.0424449788052536, clusters fusionados: 584:[48, 65], Silhouette Score: 0.19185279076321426
iteración: 86, distancia: 0.0426050427197545, clusters fusionados: 585:[521, 276], Silhouette Score: 0.19261205657360642
iteración: 87, distancia: 0.04282679107931054, clusters fusionados: 586:[62, 403], Silhouette Score: 0.19389303806433042
iteración: 88, distancia: 0.043155576445097536, clusters fusionados: 587:[49, 467], Silhouette Score: 0.19495935914166365
iteración: 89, distancia: 0.04379029157542948, clusters fusionados: 588:[80, 371], Silhouette Score: 0.1960448304314923
iteración: 90, distancia: 0.04480416044405377, clusters fusionados: 589:[406, 475], Silhouette Score: 0.19616595328561856
iteración: 91, distancia: 0.044868135586552324, clusters fusionados: 590:[530, 66], Silhouette Score: 0.19696578318564473
